site,lat,lon
Knuckey Lagoon,-12.4422,130.9556
East Point,-12.4108,130.8273
The Granites Airport,-20.5501,130.3484
Noonamah,-12.6099,131.0474
Ngukurr AWS,-14.7236,134.7456
Croker Island Airport,-11.1629,132.4813
Murganella Airstrip,-11.5485,132.9266
Oenpelli Airstrip,-12.3272,133.0069
Mount Bundey South,-13.0889,131.8478
Dum In Mirrie,-12.635,130.3725
Pirlangimpi,-11.4021,130.4217
Darwin Airport,-12.4239,130.8925
Point Fawcett,-11.7628,130.03
Batchelor,-13.0544,131.0252
Point Stuart,-12.2403,131.8785
Douglas River,-13.8345,131.1872
Bradshaw,-14.9408,130.8091
Tindal,-14.5229,132.3826
McCluer Island,-11.0468,132.9791
Jabiru,-12.6592,132.894
Warruwi,-11.65,133.3797
Milingimbi,-12.0932,134.8919
Central Arnhem Plateau,-13.3275,133.0861
Bulman,-13.6715,134.3415
Cape Wessel,-11.0047,136.7586
Gove Airport,-12.2684,136.8188
Borroloola,-16.0755,136.3041
Groote Eylandt Airport,-13.9746,136.463
Kangaroo Flats,-12.7934,130.8542
Mount Bundey North,-12.9141,131.8663
Bradshaw-Angallari Valley (Defence),-15.4397,130.5731
Bradshaw-Koolendong Valley,-15.1853,130.1169
Delamere,-15.7441,131.9181
Lajamanu,-18.3324,130.6361
Victoria River Downs,-16.403,131.0145
Daly Waters,-16.2637,133.3782
Elliott,-17.5552,133.5439
Tennant Creek,-19.6423,134.1833
McArthur River Mine,-16.4423,136.076
Centre Island,-15.7426,136.8192
Walungurru (Kintore),-23.2656,129.3844
Watarrka,-24.2918,131.549
Alice Springs Airport,-23.7951,133.889
Jervois,-22.9494,136.1442
Territory Grape Farm,-22.4518,133.6377
Yulara,-25.1896,130.9737
Curtin Springs,-25.3139,131.7571
Wadeye (Port Keats),-14.2494,129.5282
Middle Point,-12.605,131.2988
Darwin Harbour,-12.4719,130.8458
Maningrida Airport,-12.0569,134.2339
Ngayawili (Elcho Island),-11.9971,135.5726
Rabbit Flat,-20.1823,130.0148
Arltunga,-23.4564,134.6849
Gunn Point,-12.249,131.0449
Charles Point,-12.3895,130.6306
Ingham Aerodrome,-18.6651,146.1467
Weipa,-12.6778,141.9208
Scherger,-12.6167,142.0869
Horn Island,-10.5844,142.29
Thursday Island,-10.5865,142.2219
Coconut Island,-10.0511,143.0686
Coen Airport,-13.7606,143.1183
Lockhart River,-12.785,143.3047
Cape Flattery,-14.9672,145.3106
Mornington Island Airport,-16.662,139.1655
Camooweal,-19.9225,138.1214
Sweers Island,-17.1142,139.5981
Burketown Airport,-17.7483,139.5356
Century Mine,-18.7569,138.7056
Normanton,-17.6872,141.0733
Kowanyama,-15.4818,141.7483
Townsville Air Weapons Range (Defence),-19.3048,146.2438
Mount Stuart - Defence,-19.4082,146.762
Townsville - Fanning River (Defence),-19.783,146.5
Georgetown Airport,-18.3039,143.5306
Palmerville,-15.9999,144.0754
Innisfail Aero,-17.5581,146.0119
Arlington Reef,-16.7226,146.1124
Low Isles,-16.3842,145.5592
Cairns,-16.8736,145.7458
Cairns Racecourse,-16.9463,145.7474
Holmes Reef,-16.4683,147.8734
Flinders Reef,-17.7195,148.4478
Lihou Reef Lighthouse,-17.133,152.145
Townsville,-19.2483,146.7661
Lucinda,-18.5203,146.3861
Cape Ferguson,-19.2774,147.0586
Marion Reef,-19.0964,152.3892
Willis Island,-16.2878,149.9652
Mount Isa,-20.6778,139.4875
Boulia,-22.9117,139.9039
Bedourie,-24.3597,139.4714
Cloncurry,-20.6664,140.505
The Monument,-21.8125,139.9267
Julia Creek,-20.6672,141.7214
Trepell,-21.84,140.8925
Richmond,-20.7001,143.1137
Winton,-22.3617,143.0836
Hughenden,-20.8192,144.2333
Urandangi,-21.5979,138.3665
Isisford,-24.2591,144.4406
Longreach,-23.4397,144.2828
Carters Bore,-20.9358,139.2964
Lake Julius,-20.1167,139.7256
New May Downs,-20.59,139.3411
Barcaldine,-23.5544,145.2883
Mackay Racecourse,-21.17,149.1515
Tambo,-24.8819,146.2564
Charters Towers,-20.0427,146.2716
Collinsville,-20.5533,147.8464
Emerald,-23.5694,148.1756
Proserpine,-20.4925,148.555
Mackay,-21.1172,149.2169
Hamilton Island,-20.3658,148.9536
Samuel Hill,-22.7433,150.6578
Creal Reef,-20.5303,150.3773
Middle Percy Island,-21.6628,150.2711
Yeppoon,-23.1364,150.7506
Rockhampton,-23.3753,150.4775
Biloela,-24.4935,150.5709
Monto Township,-24.8642,151.1247
Rundle Island,-23.5322,151.2771
Gannett Cay,-21.9769,152.4707
Gladstone,-23.8553,151.2628
Gladstone Airport,-23.8697,151.2214
Bowen Airport AWS,-20.0153,148.2138
Seventeen Seventy,-24.1568,151.8889
Heron Island,-23.4417,151.9125
Bundaberg,-24.9069,152.323
Lady Elliot Island,-24.1116,152.7161
Frederick Reef,-20.9375,154.4019
Cato Island,-23.2503,155.542
Clermont Airport,-22.7756,147.6217
Rolleston Airport,-24.4617,148.6264
Moranbah Airport,-22.0644,148.0758
Blackwater Airport,-23.6015,148.8074
Lochington,-23.9424,147.525
Canungra (Defence),-28.0437,153.1871
Greenbank (Defence),-27.6932,152.9935
Tin Can Bay (Defence),-25.9351,152.9647
Windorah,-25.4117,142.6647
Cunnamulla,-28.0689,145.6822
Charleville,-26.4139,146.2558
Injune,-25.8428,148.5669
Mitchell,-26.4888,147.9777
Roma,-26.5477,148.771
St George,-28.0478,148.5957
Surat,-27.1591,149.0702
Taroom,-25.6408,149.7958
Dalby,-27.1605,151.2633
Kingaroy,-26.5737,151.8398
Stanthorpe,-28.6617,151.9339
Oakey,-27.4034,151.7413
Applethorpe,-28.6217,151.9533
Warwick,-28.2061,152.1003
Redland (Alexandra Hills),-27.5433,153.2394
Gatton,-27.5436,152.3375
Rainbow Beach,-25.9007,153.0891
Gympie,-26.1831,152.6414
Maryborough,-25.5132,152.7152
Amberley,-27.6297,152.7111
Sunshine Coast Airport,-26.599,153.0912
Tewantin,-26.3911,153.0403
Archerfield,-27.5716,153.0071
Brisbane,-27.4808,153.0389
Brisbane Airport,-27.3917,153.1292
Gold Coast Seaway,-27.939,153.4283
Double Island  Point,-25.9319,153.1906
Inner Beacon,-27.2633,153.2419
Banana Bank,-27.5327,153.3333
Coolangatta,-28.1681,153.5053
Point Lookout,-27.4361,153.5456
Cape Moreton,-27.0314,153.4661
Cooktown,-15.4461,145.1861
Mareeba,-17.0704,145.4293
Bougainville Reef,-15.4877,147.1183
South Johnstone,-17.6053,145.9972
Woolshed,-19.4168,146.5362
Ayr,-19.6169,147.3758
Alva Beach,-19.4569,147.4833
Rosslyn Bay Harbour,-23.161,150.7901
Blackall,-24.4303,145.4306
Springsure,-24.123,148.0856
Mackay Airport,-21.1706,149.1794
St Lawrence,-22.3472,149.5242
Williamson,-22.4703,150.1786
Birdsville,-25.8975,139.3472
Ballera,-27.4008,141.8114
Thargomindah,-27.9867,143.815
Miles,-26.6569,150.1819
Texas,-28.8544,151.1681
Gayndah,-25.6167,151.6156
Toowoomba,-27.5425,151.9134
Hervey Bay,-25.322,152.8817
Beerburrum,-26.9586,152.9619
Nambour,-26.6442,152.9383
Beaudesert AWS,-27.9707,152.9898
Logan City,-27.6841,153.1981
Redcliffe,-27.2169,153.0922
Cowley Beach (Defence),-17.6905,146.1126
Hay Point,-21.2894,149.3008
Chinchilla Airport,-26.769,150.6171
Wellcamp Airport,-27.5517,151.7845
Goondiwindi,-28.5226,150.3223
North West 10 Beacon,-27.0,153.242
Hope Banks Beacon,-27.4344,153.2904
Borrona Downs,-29.7614,143.1135
Lightning Ridge,-29.431,147.9722
Mungindi,-28.9786,148.9899
Inverell RS,-29.7752,151.082
Pindari Dam,-29.3899,151.2448
Tenterfield,-29.0479,152.0172
Lismore Airport,-28.8305,153.2601
Casino,-28.8824,153.0618
Murwillumbah,-28.3395,153.3809
Tabulam,-28.7551,152.4507
Glen Innes Airport,-29.678,151.694
Yamba,-29.4325,153.3632
Ballina,-28.8353,153.5585
Evans Head,-29.183,153.3964
Cape Byron,-28.6399,153.6358
Maitland Airport,-32.7023,151.4881
Fowlers Gap,-31.0863,141.7008
Broken Hill Airport,-32.0012,141.4694
Lake Victoria,-34.0438,141.2676
Menindee,-32.3937,142.4173
Hillston,-33.4915,145.5248
Hay Airport,-34.5412,144.8315
Bourke,-30.0362,145.9521
Nyngan,-31.5495,147.1961
Cobar Airport,-31.5388,145.7964
Cobar,-31.484,145.8294
Young,-34.2493,148.2475
Cootamundra,-34.6299,148.0365
Forbes,-33.3627,147.9205
Goulburn,-34.7495,149.7034
Peak Hill,-32.7235,148.1902
Wellington,-32.5635,148.9503
Grenfell,-33.8934,148.1523
Mudgee,-32.5628,149.6149
Coonabarabran,-31.2786,149.2786
Bathurst Airport,-33.4119,149.654
Bathurst,-33.4288,149.5559
Gulgong,-32.3634,149.5329
Gunnedah Resource Centre,-31.0261,150.2687
Lithgow,-33.4769,150.1303
Mount Boyce,-33.6185,150.2741
Katoomba,-33.7139,150.2953
Moss Vale,-34.5253,150.4217
Bellambi,-34.3692,150.9291
Nowra,-34.9469,150.5353
